Time,Node_ID,Rel_ID,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
10,1,52,6358,4973,MALE,FEMALE,53.4464,54.2019,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,6,7030,4319,MALE,FEMALE,29.6655,33.1419,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,29,7051,6691,MALE,FEMALE,20.9287,40.1672,1,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,55,7913,8594,MALE,FEMALE,45.2596,49.0268,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,41,7961,7853,MALE,FEMALE,19.8545,40.6112,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,30,8426,7776,MALE,FEMALE,34.3798,45.7325,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,31,8448,9380,MALE,FEMALE,30.0339,43.6822,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,33,9048,658,MALE,FEMALE,47.1641,17.8862,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,45,9149,234,MALE,FEMALE,23.6132,22.7169,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,27,363,5172,MALE,FEMALE,51.3691,21.4691,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,36,1586,2790,MALE,FEMALE,36.5356,39.0896,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,36,1586,2790,MALE,FEMALE,36.5356,39.0896,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,2,1696,2574,MALE,FEMALE,53.6446,17.9871,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,37,2993,3895,MALE,FEMALE,47.1708,51.2751,0,1,0,1,1,0,0,0,0,-1,-1,0,0
11,1,10,4508,5028,MALE,FEMALE,35.8383,34.628,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,50,5303,3938,MALE,FEMALE,17.6763,54.6293,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,24,5978,1865,MALE,FEMALE,27.1121,47.1646,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,7,7155,4517,MALE,FEMALE,32.3644,27.4547,0,1,0,1,1,0,0,0,0,-1,-1,0,0
11,1,53,7443,5734,MALE,FEMALE,35.1641,41.4267,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,56,7917,809,MALE,FEMALE,26.1848,35.462,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,41,7961,7853,MALE,FEMALE,19.8573,40.614,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,30,8426,7776,MALE,FEMALE,34.3825,45.7353,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,31,8448,9380,MALE,FEMALE,30.0367,43.685,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,31,8448,9380,MALE,FEMALE,30.0367,43.685,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,8,8775,4538,MALE,FEMALE,45.4698,43.8689,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,44,9012,9945,MALE,FEMALE,18.8586,52.4088,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,27,363,5172,MALE,FEMALE,51.3718,21.4719,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,20,591,4725,MALE,FEMALE,28.0401,52.251,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,21,1233,5175,MALE,FEMALE,29.5563,49.789,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,36,1586,2790,MALE,FEMALE,36.5383,39.0923,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,9,2702,4668,MALE,FEMALE,33.579,29.0427,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,15,2771,7510,MALE,FEMALE,52.5672,50.1557,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,23,2908,9967,MALE,FEMALE,51.5153,29.1162,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,47,3504,1963,MALE,FEMALE,19.3301,45.5523,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,48,3798,2274,MALE,FEMALE,26.8257,18.369,1,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,5,3926,3849,MALE,FEMALE,19.6389,34.3705,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,10,4508,5028,MALE,FEMALE,35.8411,34.6307,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,10,4508,5028,MALE,FEMALE,35.8411,34.6307,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,50,5303,3938,MALE,FEMALE,17.679,54.632,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,11,5499,5120,MALE,FEMALE,35.3659,39.9936,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,51,5825,4254,MALE,FEMALE,31.4111,17.5278,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,6,7030,4319,MALE,FEMALE,29.671,33.1474,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,6,7030,4319,MALE,FEMALE,29.671,33.1474,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,42,7971,8246,MALE,FEMALE,40.6657,43.1673,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,13,8896,5535,MALE,FEMALE,25.7796,34.2338,0,0,0,1,1,0,0,0,0,-1,-1,0,0
12,1,13,8896,5535,MALE,FEMALE,25.7796,34.2338,0,0,0,1,1,0,0,0,0,-1,-1,0,0
13,1,58,65,1090,MALE,FEMALE,21.5682,21.7876,0,0,0,1,1,0,0,0,0,-1,-1,0,0
13,1,87,150,4886,MALE,FEMALE,38.7158,54.8363,0,0,0,1,1,0,0,0,0,-1,-1,0,0
13,1,1,169,1193,MALE,FEMALE,29.4873,44.3349,0,0,0,1,1,0,0,0,0,-1,-1,0,0
13,1,59,180,1092,MALE,FEMALE,38.7033,26.2885,0,0,0,1,1,0,0,0,0,-1,-1,0,0
