Time, NodeID, Gender, AgeYears, IndividualProp=Risk, NumIndividuals, NumInfected
16,2,M,125, Low,21,0
16,2,F,40, High,1411,0
16,2,F,40, Low,652,0
16,2,F,80, High,246,0
16,2,F,80, Low,96,0
16,2,F,125, High,52,0
16,2,F,125, Low,35,0
16,1,M,40, High,409,75
16,1,M,40, Low,1617,62
16,1,M,80, High,79,18
16,1,M,80, Low,303,13
16,1,M,125, High,22,6
16,1,M,125, Low,52,1
16,1,F,40, High,408,72
16,1,F,40, Low,1651,72
16,1,F,80, High,82,21
16,1,F,80, Low,300,16
16,1,F,125, High,21,5
16,1,F,125, Low,56,1
17,2,M,40, High,1430,0
17,2,M,40, Low,635,0
17,2,M,80, High,260,0
17,2,M,80, Low,112,0
17,2,M,125, High,50,0
17,2,M,125, Low,21,0
17,2,F,40, High,1411,0
17,2,F,40, Low,652,0
17,2,F,80, High,246,0
17,2,F,80, Low,96,0
17,2,F,125, High,52,0
17,2,F,125, Low,35,0
17,1,M,40, High,409,92
17,1,M,40, Low,1617,72
17,1,M,80, High,79,17
17,1,M,80, Low,303,12
17,1,M,125, High,22,6
17,1,M,125, Low,52,1
17,1,F,40, High,408,100
17,1,F,40, Low,1651,80
17,1,F,80, High,82,22
17,1,F,80, Low,300,10
17,1,F,125, High,21,5
17,1,F,125, Low,56,3
18,2,M,40, High,1430,0
18,2,M,40, Low,635,0
18,2,M,80, High,260,0
18,2,M,80, Low,112,0
18,2,M,125, High,50,0
18,2,M,125, Low,21,0
18,2,F,40, High,1411,0
18,2,F,40, Low,652,0
18,2,F,80, High,246,0
18,2,F,80, Low,96,0
18,2,F,125, High,52,0
18,2,F,125, Low,35,0
18,1,M,40, High,409,100
18,1,M,40, Low,1617,77
18,1,M,80, High,79,21
18,1,M,80, Low,303,14
18,1,M,125, High,22,10
18,1,M,125, Low,52,4
18,1,F,40, High,408,111
18,1,F,40, Low,1651,80
18,1,F,80, High,82,22
18,1,F,80, Low,300,14
18,1,F,125, High,21,4
18,1,F,125, Low,56,2
19,2,M,40, High,1430,0
19,2,M,40, Low,635,0
19,2,M,80, High,260,0
19,2,M,80, Low,112,0
19,2,M,125, High,50,0
19,2,M,125, Low,21,0
19,2,F,40, High,1410,0
19,2,F,40, Low,652,0
19,2,F,80, High,247,0
19,2,F,80, Low,96,0
19,2,F,125, High,52,0
19,2,F,125, Low,35,0
19,1,M,40, High,408,117
19,1,M,40, Low,1617,83
19,1,M,80, High,80,21
19,1,M,80, Low,303,11
19,1,M,125, High,22,11
19,1,M,125, Low,52,5
