Time,NodeID,Gender,AgeYears,NumIndividuals,NumInfected
25,2,M,80,83,61
25,2,M,125,89,70
25,2,F,40,87,62
25,2,F,80,85,62
25,2,F,125,79,51
25,1,M,40,75,55
25,1,M,80,87,63
25,1,M,125,83,63
25,1,F,40,93,76
25,1,F,80,88,64
25,1,F,125,67,50
26,4,M,40,90,58
26,4,M,80,95,51
26,4,M,125,78,53
26,4,F,40,82,58
26,4,F,80,90,72
26,4,F,125,75,59
26,3,M,40,92,68
26,3,M,80,78,60
26,3,M,125,86,59
26,3,F,40,74,48
26,3,F,80,73,50
26,3,F,125,98,73
26,2,M,40,75,53
26,2,M,80,82,61
26,2,M,125,89,70
26,2,F,40,87,63
26,2,F,80,85,66
26,2,F,125,78,53
26,1,M,40,75,56
26,1,M,80,87,64
26,1,M,125,83,66
26,1,F,40,93,77
26,1,F,80,88,68
26,1,F,125,67,49
27,4,M,40,90,55
27,4,M,80,94,53
27,4,M,125,78,52
27,4,F,40,83,58
27,4,F,80,90,68
27,4,F,125,76,61
27,3,M,40,92,66
27,3,M,80,78,60
27,3,M,125,86,58
27,3,F,40,74,50
27,3,F,80,73,47
27,3,F,125,98,72
27,2,M,40,76,55
27,2,M,80,82,59
27,2,M,125,89,68
27,2,F,40,86,59
27,2,F,80,85,67
27,2,F,125,78,55
27,1,M,40,74,56
27,1,M,80,88,66
27,1,M,125,83,65
27,1,F,40,93,78
27,1,F,80,87,66
27,1,F,125,67,50
28,4,M,40,89,51
28,4,M,80,93,51
28,4,M,125,80,51
28,4,F,40,83,57
28,4,F,80,92,72
28,4,F,125,77,58
28,3,M,40,91,67
28,3,M,80,78,63
28,3,M,125,86,57
28,3,F,40,74,49
28,3,F,80,74,52
28,3,F,125,98,71
28,2,M,40,77,54
28,2,M,80,83,59
28,2,M,125,86,63
28,2,F,40,88,63
28,2,F,80,83,68
28,2,F,125,77,54
28,1,M,40,75,58
28,1,M,80,88,65
28,1,M,125,84,70
28,1,F,40,91,81
28,1,F,80,86,66
28,1,F,125,67,50
29,4,M,40,89,54
29,4,M,80,93,51
29,4,M,125,81,52
29,4,F,40,82,54
29,4,F,80,92,68
29,4,F,125,77,57
29,3,M,40,91,64
29,3,M,80,78,60
29,3,M,125,86,56
29,3,F,40,73,47
29,3,F,80,74,49
29,3,F,125,99,69
29,2,M,40,77,54
29,2,M,80,82,54
29,2,M,125,86,61
29,2,F,40,89,65
29,2,F,80,84,73
29,2,F,125,78,54
29,1,M,40,75,55
29,1,M,80,89,66
29,1,M,125,83,69
29,1,F,40,92,83
29,1,F,80,85,65
29,1,F,125,65,53
