Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
119,340461476,1000,9698,1095,2413,6190,13521,13622,81986,438360,3496,3139,5253,8392,3496,0,0,219180,3496,221,0,0,1306,0,909,357,0,2481,2772,3139,0,0,0,0,0,11750.3,0.0274978,221,203,18
120,340461476,1000,9815,1105,2404,6306,13499,13566,82253,427480,3422,3078,5362,8440,3422,0,0,213740,3422,181,0,0,1375,0,914,344,0,2513,2849,3078,0,0,0,0,0,11483.3,0.0268051,181,189,-8
121,340461476,1000,9809,1137,2396,6276,13572,13365,82127,431720,3508,3155,5345,8500,3508,0,0,215860,3508,228,0,0,1309,0,962,353,0,2556,2789,3155,0,0,0,0,0,11609.3,0.0268627,228,257,-29
122,340461476,1000,9668,1099,2426,6143,13604,13453,82007,442040,3508,3135,5335,8470,3508,0,0,221020,3508,211,0,0,1198,0,966,373,0,2508,2827,3135,0,0,0,0,0,11729.3,0.0268907,211,194,17
123,340461476,1000,9835,1151,2423,6261,13763,13372,82040,437000,3364,3016,5453,8469,3364,0,0,218500,3364,179,0,0,1366,0,851,348,0,2598,2855,3016,0,0,0,0,0,11696.3,0.0265344,179,150,29
124,340461476,1000,9830,1115,2484,6231,13742,13329,82163,450880,3611,3215,5335,8550,3611,0,0,225440,3611,199,0,0,1280,0,889,396,0,2590,2745,3215,0,0,0,0,0,11573.3,0.0267649,199,206,-7
125,340461476,1000,9832,1069,2515,6248,16160,13276,82004,441960,3515,3131,5392,8523,3515,0,0,220980,3515,201,0,0,1309,0,923,384,0,2485,2907,3131,0,0,0,0,0,11732.3,0.0256682,201,200,1
126,340461476,1000,9803,1067,2473,6263,15864,13349,82047,426360,3425,3046,5445,8491,3425,0,0,213180,3425,182,0,0,1312,0,962,379,0,2606,2839,3046,0,0,0,0,0,11689.3,0.026546,182,217,-35
127,340461476,1000,9911,1076,2476,6359,15671,13324,82071,450520,3577,3206,5340,8546,3577,0,0,225260,3577,198,0,0,1365,0,886,371,0,2587,2753,3206,0,0,0,0,0,11665.3,0.0274164,198,195,3
128,340461476,1000,9859,1082,2458,6319,15427,13486,81981,445400,3571,3203,5378,8581,3571,0,0,222700,3571,208,0,0,1278,0,962,368,0,2497,2881,3203,0,0,0,0,0,11755.3,0.0258929,208,214,-6
129,340461476,1000,9744,1125,2429,6190,15264,13632,82102,430000,3408,3060,5452,8512,3408,0,0,215000,3408,179,0,0,1232,0,999,348,0,2581,2871,3060,0,0,0,0,0,11634.3,0.0263926,179,155,24
130,340461476,1000,9734,1121,2413,6200,15063,13778,82134,443880,3445,3074,5327,8401,3445,0,0,221940,3445,209,0,0,1333,0,972,371,0,2583,2744,3074,0,0,0,0,0,11602.3,0.0270564,209,225,-16
131,340461476,1000,9761,1112,2448,6201,14936,13773,82017,445600,3555,3176,5263,8439,3555,0,0,222800,3555,215,0,0,1322,0,916,379,0,2492,2771,3176,0,0,0,0,0,11719.3,0.0261383,215,206,9
132,340461476,1000,9883,1117,2476,6290,14877,13553,82019,431320,3469,3120,5403,8523,3469,0,0,215660,3469,214,0,0,1360,0,889,349,0,2528,2875,3120,0,0,0,0,0,11717.3,0.0263,214,229,-15
133,340461476,1000,9848,1130,2470,6248,14709,13541,82054,433480,3492,3138,5412,8550,3492,0,0,216740,3492,204,0,0,1298,0,979,354,0,2600,2812,3138,0,0,0,0,0,11682.3,0.0271661,204,224,-20
134,340461476,1000,9886,1083,2502,6301,14713,13439,81939,448840,3534,3114,5388,8502,3534,0,0,224420,3534,213,0,0,1384,0,926,420,0,2555,2833,3114,0,0,0,0,0,11797.3,0.02695,213,199,14
135,340461476,1000,9849,1082,2508,6259,14590,13537,81906,438840,3544,3186,5352,8538,3544,0,0,219420,3544,181,0,0,1311,0,990,358,0,2554,2798,3186,0,0,0,0,0,11830.3,0.0262839,181,145,36
136,340461476,1000,9861,1067,2507,6287,14482,13491,81785,438680,3496,3144,5413,8557,3496,0,0,219340,3496,192,0,0,1304,0,940,352,0,2518,2895,3144,0,0,0,0,0,11951.3,0.026958,192,195,-3
137,340461476,1000,9863,1076,2458,6329,14450,13580,81838,428600,3446,3112,5457,8569,3446,0,0,214300,3446,195,0,0,1294,0,958,334,0,2618,2839,3112,0,0,0,0,0,11898.3,0.0272437,195,195,0
138,340461476,1000,9815,1063,2479,6273,14348,13465,82034,444080,3502,3129,5404,8533,3502,0,0,222040,3502,201,0,0,1282,0,957,373,0,2589,2815,3129,0,0,0,0,0,11702.3,0.0277608,201,203,-2
139,340461476,1000,9795,1059,2436,6300,14331,13316,81967,443560,3491,3079,5385,8464,3491,0,0,221780,3491,188,0,0,1331,0,939,412,0,2551,2834,3079,0,0,0,0,0,11769.3,0.0263517,188,217,-29
140,340461476,1000,9730,1063,2431,6236,14203,13516,81992,438720,3507,3159,5340,8499,3507,0,0,219360,3507,181,0,0,1231,0,948,348,0,2564,2776,3159,0,0,0,0,0,11744.3,0.0265337,181,176,5
141,340461476,1000,9774,1069,2412,6293,14215,13399,82137,442080,3461,3078,5344,8422,3461,0,0,221040,3461,195,0,0,1352,0,925,383,0,2514,2830,3078,0,0,0,0,0,11599.3,0.0267694,195,214,-19
142,340461476,1000,9749,1084,2424,6241,14094,13405,82092,431240,3518,3141,5347,8488,3518,0,0,215620,3518,168,0,0,1261,0,909,377,0,2568,2779,3141,0,0,0,0,0,11644.3,0.0262379,168,158,10
143,340461476,1000,9716,1093,2418,6205,14010,13417,82037,443880,3470,3106,5370,8476,3470,0,0,221940,3470,201,0,0,1240,0,909,364,0,2532,2838,3106,0,0,0,0,0,11699.3,0.0270018,201,192,9
144,340461476,1000,9748,1084,2437,6227,13957,13418,81901,440600,3445,3095,5382,8477,3445,0,0,220300,3445,215,0,0,1271,0,889,350,0,2557,2825,3095,0,0,0,0,0,11835.3,0.0263568,215,215,0
145,340461476,1000,9779,1063,2496,6220,13943,13387,82298,438560,3447,3090,5376,8466,3447,0,0,219280,3447,182,0,0,1313,0,925,357,0,2563,2813,3090,0,0,0,0,0,11438.3,0.0268617,182,207,-25
146,340461476,1000,9786,1044,2525,6217,13908,13520,81723,440200,3485,3114,5363,8477,3485,0,0,220100,3485,186,0,0,1309,0,931,371,0,2552,2811,3114,0,0,0,0,0,12013.3,0.0260814,186,191,-5
147,340461476,1000,9810,1032,2527,6251,13860,13512,82149,440760,3496,3139,5367,8506,3496,0,0,220380,3496,197,0,0,1304,0,923,357,0,2516,2851,3139,0,0,0,0,0,11587.3,0.0272905,197,191,6
148,340461476,1000,9807,1057,2486,6264,13770,13548,81961,432800,3423,3078,5402,8480,3423,0,0,216400,3423,207,0,0,1327,0,985,345,0,2580,2822,3078,0,0,0,0,0,11775.3,0.0262893,207,213,-6
149,340461476,1000,9877,1066,2526,6285,13832,13621,81859,445280,3541,3178,5399,8577,3541,0,0,222640,3541,175,0,0,1300,0,867,363,0,2582,2817,3178,0,0,0,0,0,11877.3,0.0272072,175,162,13
