Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
15,2,1000,1129,0,0,1129,2001,0,112069,78400,39200,365,0,0,0,0,0,118,35,0,15740.1,0.159409,0,0,0,1129,0,0,0,365,0,0,0,0,0,0,0,0,0,0
15,3,1002,1251,0,0,1251,2050,0,111865,85400,42700,404,0,0,0,0,0,118,40,0,15944.1,0.148646,0,0,0,1251,0,0,0,404,0,0,0,0,0,0,0,0,0,0
15,4,1001,1258,0,0,1258,1997,0,112075,84200,42100,401,0,0,0,0,0,113,48,0,15734.1,0.141747,0,0,0,1258,0,0,0,401,0,0,0,0,0,0,0,0,0,0
16,1,997,1009,0,0,1009,1843,0,117273,66600,33300,314,0,0,0,0,0,111,27,0,15853.2,0.204472,0,0,0,1009,0,0,0,314,0,0,0,0,0,0,0,0,0,0
16,2,1000,995,0,0,995,1815,0,117148,69600,34800,329,0,0,0,0,0,102,32,0,15978.2,0.200767,0,0,0,995,0,0,0,329,0,0,0,0,0,0,0,0,0,0
16,3,1002,1123,0,0,1123,1853,0,117161,81200,40600,393,0,0,0,0,0,99,28,0,15965.2,0.1867,0,0,0,1123,0,0,0,393,0,0,0,0,0,0,0,0,0,0
16,4,1001,1112,0,0,1112,1807,0,116982,77800,38900,371,0,0,0,0,0,105,41,0,16144.2,0.186866,0,0,0,1112,0,0,0,371,0,0,0,0,0,0,0,0,0,0
17,1,998,886,0,0,886,1670,0,122060,69400,34700,331,0,0,0,0,0,89,33,0,16191.7,0.238037,0,0,0,886,0,0,0,331,0,0,0,0,0,0,0,0,0,0
17,2,1000,856,0,0,856,1639,0,122067,64400,32200,301,0,0,0,0,0,107,33,0,16184.7,0.229572,0,0,0,856,0,0,0,301,0,0,0,0,0,0,0,0,0,0
17,3,1002,960,0,0,960,1681,0,121992,70200,35100,338,0,0,0,0,0,121,42,0,16259.7,0.196616,0,0,0,960,0,0,0,338,0,0,0,0,0,0,0,0,0,0
