Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
2000.33,1,PostDebut,337,18612.9,M,0
2000.33,1,PostDebut,15440,5079.58,F,0
2000.33,1,PostDebut,11562,11771.3,M,0
2000.33,1,PostDebut,11337,12136.3,M,0
2000.33,1,PostDebut,12266,10524.2,F,0
2000.33,1,PreDebut,18400,121.667,M,0
2000.33,1,PostDebut,343,15697.4,F,0
2000.33,1,PostDebut,344,15245.3,F,0
2000.33,1,PostDebut,14737,6326.66,F,0
2000.33,1,PreDebut,15211,5475,M,0
2000.33,1,PostDebut,13275,8759.99,F,0
2000.33,1,PostDebut,11052,12622.9,F,0
2000.33,1,PreDebut,16022,4106.25,M,0
2000.33,1,PreDebut,17231,2068.33,M,0
2000.33,1,PreDebut,17230,2068.33,F,0
2000.33,1,PostDebut,14642,6478.74,F,0
2000.33,1,PostDebut,11693,11527.9,F,0
2000.33,1,PostDebut,12284,10493.8,F,0
2000.33,1,PostDebut,13073,9185.83,F,0
2000.33,1,PostDebut,356,15583,F,0
2000.33,1,PreDebut,16759,2889.58,F,0
2000.33,1,PreDebut,16332,3589.17,M,0
2000.33,1,PostDebut,359,14837.1,F,0
2000.33,1,PostDebut,12067,10889.2,M,0
2000.33,1,PreDebut,16739,2920,F,0
2000.33,1,PostDebut,14934,5992.08,F,0
2000.33,1,PreDebut,16203,3802.09,F,0
2000.33,1,PostDebut,14279,7056.66,F,0
2000.33,1,PostDebut,365,17655.7,M,0
2000.33,1,PostDebut,366,19599.6,M,0
2000.33,1,PostDebut,14034,7452.07,M,0
2000.33,1,PostDebut,14962,5931.24,F,0
2000.33,1,PreDebut,14878,6083.33,M,0
2000.33,1,PreDebut,15343,5231.67,M,0
2000.33,1,PostDebut,15103,5657.5,F,0
2000.33,1,PostDebut,372,15488.5,M,0
2000.33,1,PostDebut,12212,10615.4,M,0
2000.33,1,PostDebut,374,19898.4,M,0
2000.33,1,PreDebut,17847,1034.17,M,0
2000.33,1,PostDebut,12861,9550.83,M,0
2000.33,1,PostDebut,377,17790.4,M,0
2000.33,1,PostDebut,13913,7664.99,M,0
2000.33,1,PreDebut,16828,2767.92,F,0
2000.33,1,PostDebut,380,18430.6,F,0
2000.33,1,PostDebut,381,17898.2,F,0
2000.33,1,PostDebut,12995,9307.49,M,0
2000.33,1,PostDebut,383,18276.2,M,0
2000.33,1,PreDebut,17980,821.25,M,0
2000.33,1,PostDebut,10805,13109.6,M,0
2000.33,1,PostDebut,386,17058.2,F,0
2000.33,1,PostDebut,387,14540.7,F,0
2000.33,1,PostDebut,14974,5900.83,F,0
2000.33,1,PostDebut,389,18887.3,F,0
2000.33,1,PostDebut,14973,5900.83,F,0
2000.33,1,PostDebut,391,17820.5,F,0
2000.33,1,PostDebut,11221,12318.8,M,0
2000.33,1,PreDebut,18448,60.8333,F,0
2000.33,1,PostDebut,10426,13748.4,M,0
2000.33,1,PostDebut,10699,13261.7,F,0
2000.33,1,PreDebut,17910,942.917,F,0
2000.33,1,PostDebut,397,18702.5,F,0
2000.33,1,PostDebut,398,18555.5,F,0
2000.33,1,PostDebut,11454,11953.8,M,0
2000.33,1,PostDebut,12506,10128.8,F,0
2000.33,1,PostDebut,401,19170.7,M,0
2000.33,1,PreDebut,17991,790.833,M,0
2000.33,1,PreDebut,16391,3497.92,F,0
2000.33,1,PostDebut,11987,11010.8,M,0
2000.33,1,PreDebut,16434,3406.67,M,0
2000.33,1,PostDebut,14278,7056.66,F,0
2000.33,1,PostDebut,11281,12227.5,M,0
2000.33,1,PreDebut,15085,5687.91,F,0
2000.33,1,PostDebut,14226,7147.9,F,0
2000.33,1,PreDebut,18339,243.333,M,0
2000.33,1,PostDebut,411,19331.7,M,0
2000.33,1,PostDebut,13942,7604.15,M,0
2000.33,1,PostDebut,10013,14508.8,F,0
2000.33,1,PostDebut,414,19556.2,F,0
2000.33,1,PostDebut,11709,11497.5,F,0
2000.33,1,PreDebut,18254,395.417,F,0
2000.33,1,PreDebut,17324,1885.83,F,0
2000.33,1,PostDebut,10122,14326.3,M,0
2000.33,1,PostDebut,419,17521.5,F,0
2000.33,1,PostDebut,420,17600.5,M,0
2000.33,1,PreDebut,15251,5414.16,F,0
2000.33,1,PostDebut,422,16165.2,M,0
2000.33,1,PostDebut,423,18824.8,M,0
2000.33,1,PreDebut,17299,1946.67,F,0
2000.33,1,PreDebut,16228,3771.67,M,0
2000.33,1,PostDebut,426,19801.7,F,0
