Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
86,3,1,265.046,36,0,F,40,1156,30.9917,23.3082,12,SELF_MIGRATING
559,2,20,2454.97,36,2,F,810,610,50.521,49.1266,1,PARTNER_TERMINATED
657,1,29,274.363,36,0,F,401,1266,20.0224,24.3854,1,SELF_MIGRATING
629,1,27,489.335,36,0,F,826,570,19.7796,22.0113,2,SELF_MIGRATING
643,4,29,589.448,37,1,F,365,833,17.2563,15.9288,1,SELF_MIGRATING
640,4,29,68.0279,37,0,F,1317,833,17.6157,15.9288,1,SELF_MIGRATING
535,4,18,139.479,37,0,F,1233,833,18.7338,15.9288,4,SELF_MIGRATING
570,4,22,170.581,37,1,F,1325,1049,34.0563,27.8904,1,SELF_MIGRATING
666,4,30,867.539,37,1,F,688,30,43.9146,30.3801,2,PARTNER_MIGRATING
641,4,29,528.322,37,1,F,221,58,33.4936,27.8353,1,PARTNER_MIGRATING
673,4,31,2611.54,37,2,F,221,608,33.4936,25.9765,1,PARTNER_MIGRATING
681,4,32,388.288,37,1,F,221,94,33.4936,29.2682,1,PARTNER_MIGRATING
642,4,29,260.433,37,1,F,221,1257,33.4936,25.0427,1,PARTNER_MIGRATING
184,3,2,638.014,37,1,F,851,955,25.7964,21.7467,5,PARTNER_MIGRATING
549,3,19,340.612,37,0,F,851,216,25.7964,24.7094,4,PARTNER_MIGRATING
247,1,3,531.784,37,0,F,530,542,28.7846,26.7661,6,SELF_MIGRATING
494,4,14,15904.3,38,2,F,609,873,43.0958,37.869,6,PARTNER_MIGRATING
547,4,19,264.602,38,0,F,761,873,40.5724,37.869,6,PARTNER_MIGRATING
736,4,38,157.868,38,0,F,1261,1257,30.2206,25.0455,1,SELF_MIGRATING
