Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
55,2,99,42305,42305,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,100,57695,57695,0,0,100000,0,576,0,0,0,0,0,1,0,0,0,0,0,0,0
56,2,99,42827,42827,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,100,57173,57173,0,0,100000,0,571,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2,99,43432,43432,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,100,56568,56568,0,0,100000,0,565,0,0,0,0,0,1,0,0,0,0,0,0,0
58,2,99,43956,43956,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,100,56044,56044,0,0,100000,0,560,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2,99,44524,44524,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,100,55476,55476,0,0,100000,0,554,0,0,0,0,0,1,0,0,0,0,0,0,0
60,2,99,45054,45054,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,100,54946,54946,0,0,100000,0,549,0,0,0,0,0,1,0,0,0,0,0,0,0
61,2,99,45596,45596,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,100,54404,54404,0,0,100000,0,544,0,0,0,0,0,1,0,0,0,0,0,0,0
62,2,99,46114,46114,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,100,53886,53886,0,0,100000,0,538,0,0,0,0,0,1,0,0,0,0,0,0,0
63,2,99,46630,46630,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,100,53370,53370,0,0,100000,0,533,0,0,0,0,0,1,0,0,0,0,0,0,0
64,2,99,47175,47175,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,100,52825,52825,0,0,100000,0,528,0,0,0,0,0,1,0,0,0,0,0,0,0
65,2,99,47685,47685,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,100,52315,52315,0,0,100000,0,523,0,0,0,0,0,1,0,0,0,0,0,0,0
66,2,99,48216,48216,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,100,51784,51784,0,0,100000,0,517,0,0,0,0,0,1,0,0,0,0,0,0,0
67,2,99,48709,48709,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,100,51291,51291,0,0,100000,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0
68,2,99,49208,49208,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,100,50792,50792,0,0,100000,0,507,0,0,0,0,0,1,0,0,0,0,0,0,0
69,2,99,49677,49677,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,100,50323,50323,0,0,100000,0,503,0,0,0,0,0,1,0,0,0,0,0,0,0
70,2,99,50195,50195,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0
