Time, NodeID, AgeYears, NumIndividuals, NumInfected, NodeProp=Accessibility
39,8,125,0,0,YES
39,7,125,0,0,YES
39,6,125,0,0,YES
39,5,125,10,1,YES
39,4,125,0,0,YES
39,3,125,0,0,YES
39,2,125,0,0,YES
39,1,125,80,24,YES
40,10,125,10,0,YES
40,9,125,0,0,YES
40,8,125,0,0,YES
40,7,125,0,0,YES
40,6,125,0,0,YES
40,5,125,10,1,YES
40,4,125,0,0,YES
40,3,125,0,0,YES
40,2,125,0,0,YES
40,1,125,80,22,YES
41,10,125,10,0,YES
41,9,125,0,0,YES
41,8,125,0,0,YES
41,7,125,0,0,YES
41,6,125,0,0,YES
41,5,125,10,1,YES
41,4,125,0,0,YES
41,3,125,0,0,YES
41,2,125,0,0,YES
41,1,125,80,22,YES
42,10,125,10,0,YES
42,9,125,0,0,YES
42,8,125,0,0,YES
42,7,125,0,0,YES
42,6,125,0,0,YES
42,5,125,10,1,YES
42,4,125,0,0,YES
42,3,125,0,0,YES
42,2,125,0,0,YES
42,1,125,80,22,YES
43,10,125,10,0,YES
43,9,125,0,0,YES
43,8,125,0,0,YES
43,7,125,0,0,YES
43,6,125,0,0,YES
43,5,125,10,1,YES
43,4,125,0,0,YES
43,3,125,0,0,YES
43,2,125,0,0,YES
43,1,125,80,22,YES
44,10,125,10,0,YES
44,9,125,0,0,YES
44,8,125,0,0,YES
44,7,125,0,0,YES
44,6,125,0,0,YES
44,5,125,10,1,YES
44,4,125,0,0,YES
44,3,125,0,0,YES
44,2,125,0,0,YES
44,1,125,80,21,YES
45,10,125,10,0,YES
45,9,125,0,0,YES
45,8,125,0,0,YES
45,7,125,0,0,YES
45,6,125,0,0,YES
45,5,125,10,1,YES
45,4,125,0,0,YES
45,3,125,0,0,YES
45,2,125,0,0,YES
45,1,125,80,21,YES
46,10,125,10,0,YES
46,9,125,0,0,YES
46,8,125,0,0,YES
46,7,125,0,0,YES
46,6,125,0,0,YES
46,5,125,10,1,YES
46,4,125,0,0,YES
46,3,125,0,0,YES
46,2,125,0,0,YES
46,1,125,80,21,YES
47,10,125,10,0,YES
47,9,125,0,0,YES
47,8,125,0,0,YES
47,7,125,0,0,YES
47,6,125,0,0,YES
47,5,125,10,1,YES
47,4,125,0,0,YES
47,3,125,0,0,YES
47,2,125,0,0,YES
47,1,125,80,19,YES
48,10,125,10,0,YES
48,9,125,10,4,YES
48,8,125,10,3,YES
48,7,125,10,3,YES
48,6,125,10,1,YES
48,5,125,10,1,YES
48,4,125,0,0,YES
48,3,125,0,0,YES
48,2,125,0,0,YES
48,1,125,40,8,YES
49,10,125,10,0,YES
49,9,125,10,4,YES
49,8,125,10,3,YES
49,7,125,10,2,YES
49,6,125,10,1,YES
49,5,125,10,1,YES
49,4,125,10,4,YES
49,3,125,10,1,YES
49,2,125,10,3,YES
49,1,125,10,0,YES
50,10,125,10,0,YES
50,9,125,10,4,YES
50,8,125,10,3,YES
50,7,125,10,1,YES
50,6,125,10,1,YES
50,5,125,10,1,YES
50,4,125,10,4,YES
50,3,125,10,1,YES
50,2,125,10,3,YES
50,1,125,10,0,YES
51,10,125,10,0,YES
51,9,125,10,4,YES
51,8,125,10,3,YES
51,7,125,10,1,YES
51,6,125,10,1,YES
51,5,125,10,1,YES
51,4,125,10,4,YES
51,3,125,10,1,YES
51,2,125,10,2,YES
51,1,125,10,0,YES
52,10,125,10,0,YES
52,9,125,10,4,YES
52,8,125,10,3,YES
52,7,125,10,1,YES
52,6,125,10,1,YES
52,5,125,10,1,YES
52,4,125,10,4,YES
52,3,125,10,1,YES
52,2,125,10,2,YES
52,1,125,10,0,YES
53,10,125,10,0,YES
53,9,125,10,4,YES
53,8,125,10,3,YES
53,7,125,10,1,YES
53,6,125,10,1,YES
53,5,125,10,1,YES
53,4,125,10,4,YES
53,3,125,10,1,YES
53,2,125,10,2,YES
53,1,125,10,0,YES
54,10,125,10,0,YES
54,9,125,10,4,YES
54,8,125,10,3,YES
54,7,125,10,1,YES
54,6,125,10,1,YES
54,5,125,10,1,YES
54,4,125,10,4,YES
54,3,125,10,1,YES
54,2,125,10,1,YES
54,1,125,10,0,YES
55,10,125,10,0,YES
55,9,125,10,3,YES
55,8,125,10,3,YES
55,7,125,10,1,YES
55,6,125,10,1,YES
55,5,125,10,1,YES
55,4,125,10,4,YES
55,3,125,10,1,YES
55,2,125,10,1,YES
55,1,125,10,0,YES
56,10,125,10,0,YES
56,9,125,10,3,YES
56,8,125,10,3,YES
56,7,125,10,1,YES
56,6,125,10,1,YES
56,5,125,10,1,YES
56,4,125,10,4,YES
56,3,125,10,1,YES
56,2,125,10,0,YES
56,1,125,10,0,YES
57,10,125,10,0,YES
57,9,125,10,3,YES
57,8,125,10,3,YES
57,7,125,10,1,YES
57,6,125,10,1,YES
57,5,125,10,1,YES
57,4,125,10,4,YES
57,3,125,10,1,YES
57,2,125,10,0,YES
57,1,125,10,0,YES
58,10,125,10,0,YES
58,9,125,10,3,YES
58,8,125,10,3,YES
58,7,125,10,1,YES
58,6,125,10,0,YES
58,5,125,10,1,YES
58,4,125,10,4,YES
58,3,125,10,1,YES
58,2,125,10,0,YES
58,1,125,10,0,YES
59,10,125,10,0,YES
59,9,125,10,3,YES
59,8,125,10,3,YES
59,7,125,10,0,YES
59,6,125,10,0,YES
59,5,125,10,1,YES
59,4,125,10,4,YES
59,3,125,10,1,YES
59,2,125,10,0,YES
59,1,125,10,0,YES
60,10,125,10,0,YES
60,9,125,10,3,YES
60,8,125,10,3,YES
60,7,125,10,0,YES
60,6,125,10,0,YES
60,5,125,10,1,YES
60,4,125,10,4,YES
60,3,125,10,1,YES
60,2,125,10,0,YES
60,1,125,10,0,YES
61,10,125,10,0,YES
61,9,125,10,3,YES
61,8,125,10,3,YES
61,7,125,10,0,YES
61,6,125,10,0,YES
61,5,125,10,1,YES
61,4,125,10,4,YES
61,3,125,10,1,YES
61,2,125,10,0,YES
61,1,125,10,0,YES
62,10,125,10,0,YES
62,9,125,10,3,YES
62,8,125,10,3,YES
62,7,125,10,0,YES
62,6,125,10,0,YES
62,5,125,10,1,YES
62,4,125,10,4,YES
62,3,125,10,1,YES
62,2,125,10,0,YES
62,1,125,10,0,YES
63,10,125,10,0,YES
63,9,125,10,3,YES
63,8,125,10,2,YES
63,7,125,10,0,YES
63,6,125,10,0,YES
63,5,125,10,1,YES
63,4,125,10,4,YES
63,3,125,10,1,YES
63,2,125,10,0,YES
63,1,125,10,0,YES
64,10,125,10,0,YES
64,9,125,10,3,YES
64,8,125,10,2,YES
64,7,125,10,0,YES
64,6,125,10,0,YES
64,5,125,10,1,YES
64,4,125,10,4,YES
64,3,125,10,1,YES
64,2,125,10,0,YES
64,1,125,10,0,YES
65,10,125,10,0,YES
65,9,125,10,3,YES
65,8,125,10,2,YES
65,7,125,10,0,YES
65,6,125,10,0,YES
65,5,125,10,1,YES
65,4,125,10,4,YES
65,3,125,10,1,YES
65,2,125,10,0,YES
65,1,125,10,0,YES
66,10,125,10,0,YES
66,9,125,10,3,YES
66,8,125,10,2,YES
66,7,125,10,0,YES
66,6,125,10,0,YES
66,5,125,10,1,YES
66,4,125,10,3,YES
66,3,125,10,1,YES
66,2,125,10,0,YES
66,1,125,10,0,YES
67,10,125,10,0,YES
67,9,125,10,3,YES
67,8,125,10,2,YES
67,7,125,10,0,YES
67,6,125,10,0,YES
67,5,125,10,1,YES
67,4,125,10,3,YES
67,3,125,10,1,YES
67,2,125,10,0,YES
67,1,125,10,0,YES
68,10,125,10,0,YES
68,9,125,10,3,YES
68,8,125,10,2,YES
68,7,125,10,0,YES
68,6,125,10,0,YES
68,5,125,10,1,YES
68,4,125,10,2,YES
68,3,125,10,1,YES
68,2,125,10,0,YES
68,1,125,10,0,YES
69,10,125,10,0,YES
69,9,125,10,3,YES
69,8,125,10,2,YES
69,7,125,10,0,YES
69,6,125,10,0,YES
69,5,125,10,1,YES
69,4,125,10,2,YES
69,3,125,10,1,YES
69,2,125,10,0,YES
69,1,125,10,0,YES
70,10,125,10,0,YES
70,9,125,10,1,YES
70,8,125,10,2,YES
70,7,125,10,0,YES
70,6,125,10,0,YES
70,5,125,10,1,YES
70,4,125,10,2,YES
70,3,125,10,1,YES
70,2,125,10,0,YES
70,1,125,10,0,YES
71,10,125,10,0,YES
71,9,125,10,1,YES
71,8,125,10,2,YES
71,7,125,10,0,YES
71,6,125,10,0,YES
71,5,125,10,1,YES
71,4,125,10,2,YES
71,3,125,10,1,YES
71,2,125,10,0,YES
71,1,125,10,0,YES
72,10,125,10,0,YES
