Time,NodeID,Alleles,VectorPopulation,STATE_MALE,VectorPopulationNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,MaleAvgAgeAtDeath
66,1,Y1,0,351353,0,39142,0,8.41886
66,1,Y2,0,231723,0,25826,0,8.50341
67,1,X1,826024,412503,93499,46736,8.01226,7.94873
67,1,X2,410114,204463,46457,23033,8.02828,7.97022
67,1,Y1,0,371484,0,42190,0,7.92496
67,1,Y2,0,245482,0,27579,0,8.00305
68,1,X1,834270,417024,98088,48737,7.71985,7.76381
68,1,X2,414164,206587,48660,24178,7.66106,7.7159
68,1,Y1,0,375072,0,43933,0,7.71825
68,1,Y2,0,248539,0,28982,0,7.79291
69,1,X1,826312,413809,99869,49753,7.7522,7.75049
69,1,X2,410212,204535,49631,24618,7.74568,7.79698
69,1,Y1,0,371974,0,44436,0,7.77977
69,1,Y2,0,246370,0,29935,0,7.74525
70,1,X1,821026,410544,98329,49014,7.89435,7.87493
70,1,X2,411020,205254,48681,24180,7.87823,7.87841
70,1,Y1,0,370523,0,44008,0,7.86048
70,1,Y2,0,245275,0,29186,0,7.89961
71,1,X1,818589,409469,97649,49214,7.97807,8.03712
71,1,X2,408391,204405,48893,24365,7.90966,7.86784
71,1,Y1,0,369226,0,44222,0,7.98198
71,1,Y2,0,244648,0,29357,0,7.9797
72,1,X1,806894,403122,97431,48924,8.06428,8.06248
72,1,X2,402368,201377,48891,24320,7.95114,8.00588
72,1,Y1,0,363328,0,44167,0,8.03491
72,1,Y2,0,241171,0,29077,0,8.05702
73,1,X1,789941,394712,96630,47938,8.18486,8.13088
73,1,X2,397019,199171,48124,23838,8.1259,8.09699
73,1,Y1,0,356944,0,43000,0,8.09995
73,1,Y2,0,236939,0,28776,0,8.14901
74,1,X1,812246,404655,94571,47446,8.32968,8.33054
74,1,X2,406410,203696,47385,24092,8.20834,8.24875
74,1,Y1,0,366513,0,42980,0,8.33397
74,1,Y2,0,241838,0,28558,0,8.25639
75,1,X1,807829,402520,97248,48328,8.14989,8.17553
75,1,X2,404117,202856,48746,24166,8.14684,8.07908
75,1,Y1,0,364793,0,43626,0,8.12162
75,1,Y2,0,240583,0,28868,0,8.17625
76,1,X1,805716,402160,96579,48128,8.18862,8.23577
76,1,X2,403706,202053,47931,24245,8.15996,8.10464
76,1,Y1,0,364014,0,43702,0,8.22656
76,1,Y2,0,240199,0,28671,0,8.13892
77,1,X1,804025,401341,96885,48419,8.28595,8.24575
77,1,X2,401905,201437,48575,24118,8.19269,8.26428
77,1,Y1,0,363445,0,43594,0,8.24448
77,1,Y2,0,239333,0,28943,0,8.2631
78,1,X1,801358,399880,96911,48185,8.25206,8.25346
78,1,X2,399922,201452,48823,23905,8.27473,8.2151
78,1,Y1,0,362752,0,43298,0,8.24283
78,1,Y2,0,238580,0,28792,0,8.2376
79,1,X1,799510,399528,96592,47893,8.33718,8.25904
79,1,X2,398816,200406,47924,24174,8.27375,8.21995
79,1,Y1,0,361625,0,43551,0,8.25324
79,1,Y2,0,238309,0,28516,0,8.23475
80,1,X1,798949,399364,95446,48060,8.33756,8.33492
80,1,X2,397901,199468,47990,24120,8.33788,8.30423
80,1,Y1,0,361333,0,43319,0,8.32845
80,1,Y2,0,237499,0,28861,0,8.31898
81,1,X1,797867,398288,95546,47990,8.34357,8.35339
81,1,X2,397123,198966,47904,24013,8.33749,8.3738
81,1,Y1,0,360335,0,43447,0,8.36085
81,1,Y2,0,236919,0,28556,0,8.35919
82,1,X1,796639,397886,95142,47876,8.36657,8.36095
82,1,X2,396579,198458,47686,24092,8.35096,8.30844
82,1,Y1,0,359552,0,43370,0,8.32942
82,1,Y2,0,236792,0,28598,0,8.36454
83,1,X1,796389,398011,95752,47921,8.37728,8.34505
83,1,X2,395773,198160,47694,23868,8.33092,8.36212
83,1,Y1,0,359778,0,43066,0,8.351
83,1,Y2,0,236393,0,28723,0,8.35031
84,1,X1,808197,404040,95380,47363,8.37545,8.38213
84,1,X2,402095,201318,47120,23894,8.38837,8.50314
84,1,Y1,0,365122,0,43086,0,8.43935
84,1,Y2,0,240236,0,28171,0,8.39725
85,1,X1,814493,407549,97320,48454,8.24618,8.3034
85,1,X2,405213,202416,48378,24358,8.33412,8.24711
85,1,Y1,0,367683,0,43776,0,8.30624
85,1,Y2,0,242282,0,29036,0,8.25189
86,1,X1,816460,408382,97009,48985,8.27301,8.22668
86,1,X2,405000,202609,48521,24222,8.25993,8.26744
86,1,Y1,0,368179,0,44275,0,8.23406
86,1,Y2,0,242812,0,28932,0,8.24952
87,1,X1,814865,407511,97377,48851,8.26521,8.28079
87,1,X2,404411,202496,48355,24287,8.3149,8.28493
87,1,Y1,0,367587,0,44186,0,8.25671
87,1,Y2,0,242420,0,28952,0,8.32101
88,1,X1,814420,407687,97602,48755,8.29967,8.21731
88,1,X2,403776,202083,48682,24262,8.28676,8.23415
88,1,Y1,0,367383,0,44020,0,8.24312
88,1,Y2,0,242387,0,28997,0,8.19223
89,1,X1,813758,408042,98255,48680,8.28836,8.27069
89,1,X2,403654,201702,48339,24133,8.28373,8.31438
89,1,Y1,0,367737,0,43782,0,8.28404
89,1,Y2,0,242007,0,29031,0,8.28687
90,1,X1,811291,406340,97661,48981,8.32441,8.28844
90,1,X2,402857,201719,48237,24039,8.3516,8.37689
90,1,Y1,0,366671,0,44049,0,8.33263
90,1,Y2,0,241388,0,28971,0,8.29464
91,1,X1,810152,404722,96315,49101,8.31379,8.2879
91,1,X2,401782,200706,47827,24192,8.30985,8.29733
91,1,Y1,0,365120,0,44152,0,8.33079
91,1,Y2,0,240308,0,29141,0,8.23074
92,1,X1,814828,407299,96807,48421,8.28609,8.30947
92,1,X2,402930,201189,48449,24165,8.31336,8.32497
92,1,Y1,0,367105,0,43740,0,8.30133
92,1,Y2,0,241383,0,28846,0,8.33481
93,1,X1,813345,406435,97945,48727,8.27827,8.30677
93,1,X2,402563,201543,48427,24202,8.37386,8.23874
93,1,Y1,0,366594,0,44008,0,8.26393
93,1,Y2,0,241384,0,28921,0,8.31503
94,1,X1,813041,406671,97317,48811,8.30872,8.28008
94,1,X2,402719,201499,48013,24198,8.33149,8.34003
94,1,Y1,0,366851,0,44059,0,8.30729
94,1,Y2,0,241319,0,28950,0,8.28877
95,1,X1,812198,406272,97758,48406,8.31784,8.28236
95,1,X2,402272,201336,48208,24220,8.35378,8.30871
95,1,Y1,0,366212,0,44015,0,8.28493
95,1,Y2,0,241396,0,28611,0,8.30072
96,1,X1,811078,405544,98239,48673,8.31844,8.358
96,1,X2,402528,202066,48263,24033,8.35006,8.31294
96,1,Y1,0,366127,0,43786,0,8.32227
96,1,Y2,0,241483,0,28920,0,8.37465
97,1,X1,810852,405736,97284,48346,8.347,8.32218
97,1,X2,402354,201587,48032,24311,8.33045,8.30739
97,1,Y1,0,365966,0,43861,0,8.29696
97,1,Y2,0,241357,0,28796,0,8.3481
98,1,X1,811018,405804,97548,48855,8.34722,8.35016
98,1,X2,401922,201405,48282,24189,8.39147,8.34875
98,1,Y1,0,365857,0,44134,0,8.35512
98,1,Y2,0,241352,0,28910,0,8.3414
99,1,X1,809347,405113,97660,48608,8.33464,8.31812
99,1,X2,402117,202149,48272,24125,8.32452,8.35996
99,1,Y1,0,365792,0,43914,0,8.33254
99,1,Y2,0,241470,0,28819,0,8.33117
100,1,X1,810721,405291,96535,48707,8.29396,8.33948
100,1,X2,401949,201318,48183,24231,8.34313,8.42404
100,1,Y1,0,365433,0,43988,0,8.40338
100,1,Y2,0,241176,0,28950,0,8.31316
101,1,X1,811009,405056,96977,48697,8.32672,8.29191
101,1,X2,402269,201517,47985,24263,8.29459,8.3629
101,1,Y1,0,365457,0,43837,0,8.29854
101,1,Y2,0,241116,0,29123,0,8.34107
102,1,X1,812126,405563,97576,48582,8.31856,8.36933
102,1,X2,404124,202480,48162,24278,8.29571,8.33961
102,1,Y1,0,366252,0,43904,0,8.38247
102,1,Y2,0,241791,0,28956,0,8.32449
103,1,X1,812437,406819,97792,48438,8.31396,8.37101
103,1,X2,403847,202234,48826,24204,8.28176,8.22897
103,1,Y1,0,366824,0,43794,0,8.33952
103,1,Y2,0,242229,0,28848,0,8.29964
104,1,X1,812634,407422,97665,48758,8.30431,8.34353
104,1,X2,404314,202112,48365,24334,8.35091,8.30324
104,1,Y1,0,366966,0,44054,0,8.32024
104,1,Y2,0,242568,0,29038,0,8.3451
105,1,X1,811712,407609,97685,48349,8.34309,8.3542
105,1,X2,404130,202328,48729,24290,8.32233,8.25776
105,1,Y1,0,367259,0,43522,0,8.3109
105,1,Y2,0,242678,0,29117,0,8.33846
106,1,X1,811524,407806,97310,48667,8.30014,8.35363
106,1,X2,404052,201895,48394,24293,8.40143,8.34343
106,1,Y1,0,367602,0,43863,0,8.3557
