Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
59,2,M,40,92,10
59,2,M,80,87,4
59,2,M,125,71,10
59,2,F,40,62,8
59,2,F,80,80,5
59,2,F,125,86,12
59,1,M,40,82,13
59,1,M,80,84,6
59,1,M,125,94,16
59,1,F,40,93,14
59,1,F,80,77,18
59,1,F,125,92,9
60,2,M,40,91,7
60,2,M,80,93,2
60,2,M,125,73,9
60,2,F,40,68,10
60,2,F,80,80,5
60,2,F,125,82,9
60,1,M,40,83,12
60,1,M,80,78,5
60,1,M,125,92,17
60,1,F,40,87,10
60,1,F,80,77,16
60,1,F,125,96,11
61,2,M,40,90,8
61,2,M,80,89,2
61,2,M,125,73,10
61,2,F,40,70,9
61,2,F,80,82,7
61,2,F,125,76,8
61,1,M,40,84,11
61,1,M,80,82,6
61,1,M,125,92,19
61,1,F,40,85,10
61,1,F,80,75,14
61,1,F,125,102,11
62,2,M,40,95,9
62,2,M,80,95,3
62,2,M,125,74,11
62,2,F,40,70,10
62,2,F,80,78,6
62,2,F,125,72,6
62,1,M,40,79,8
62,1,M,80,76,4
62,1,M,125,91,17
62,1,F,40,85,11
62,1,F,80,79,13
62,1,F,125,106,13
63,2,M,40,88,9
63,2,M,80,93,3
63,2,M,125,72,12
63,2,F,40,71,8
63,2,F,80,79,6
63,2,F,125,87,6
63,1,M,40,86,8
63,1,M,80,78,3
63,1,M,125,93,15
63,1,F,40,84,13
63,1,F,80,78,10
63,1,F,125,91,11
64,2,M,40,90,7
64,2,M,80,92,3
64,2,M,125,75,14
64,2,F,40,69,13
64,2,F,80,84,6
64,2,F,125,89,7
64,1,M,40,84,10
64,1,M,80,79,3
64,1,M,125,90,14
64,1,F,40,86,7
64,1,F,80,73,7
64,1,F,125,89,11
65,2,M,40,87,8
65,2,M,80,91,3
65,2,M,125,74,13
65,2,F,40,69,11
65,2,F,80,82,6
65,2,F,125,86,6
65,1,M,40,87,9
65,1,M,80,80,4
65,1,M,125,91,16
65,1,F,40,86,7
65,1,F,80,75,4
65,1,F,125,92,11
66,2,M,40,90,7
66,2,M,80,85,5
66,2,M,125,80,13
66,2,F,40,69,11
66,2,F,80,83,6
66,2,F,125,82,6
66,1,M,40,84,9
66,1,M,80,86,3
66,1,M,125,85,13
66,1,F,40,86,6
66,1,F,80,74,4
66,1,F,125,96,11
67,2,M,40,87,4
67,2,M,80,79,4
67,2,M,125,81,13
67,2,F,40,70,11
67,2,F,80,84,6
67,2,F,125,90,4
