Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
3,13,9,64,0,0,64,66,0,5308,4000,2000,15,0,2,0,0,0,6,0,0,1975.41,68.5746,178.267,1,0.039265,0.0743526,0,0,0
3,11,11,135,0,0,135,122,0,13777,10600,5300,42,0,7,0,0,0,14,0,0,22604,442.873,827.337,1,0.19575,0.310082,0,0,0
3,9,11,57,0,0,57,62,0,5149,3200,1600,13,0,2,0,0,0,12,0,0,2108.41,109.575,163.267,1,0.0815299,0.0609408,0,0,0
3,7,0,83,0,0,83,76,0,5798,800,400,0,0,0,0,0,0,7,0,0,1482.41,83.5746,166.267,1,0.0406954,0.119538,0,0,0
3,5,12,30,0,0,30,28,0,2210,1400,700,5,0,2,0,0,0,3,0,0,1446.2,28.7873,80.1337,1,0.045765,0.0927231,0,0,0
3,3,1,68,0,0,68,65,0,5608,5800,2900,24,0,3,0,0,0,12,0,0,1627.41,96.5746,198.267,1,0.044765,0.0707231,0,0,0
3,1,5,53,0,0,53,48,0,4183,3200,1600,13,0,3,0,0,0,6,0,0,3073.41,90.5746,183.267,1,0.0703785,0.0837231,0,0,0
3,26,10,636,0,0,636,642,0,58320,1000,500,490,0,75,0,0,0,69,0,0,86970.1,1858.49,3456.35,1,0.125188,0.164653,0,0,0
3,24,10,66,0,0,66,62,0,5758,3400,1700,11,0,5,0,0,0,8,0,0,1517.41,84.5746,170.267,1,0.0653312,0.0676593,0,0,0
3,22,0,251,0,0,251,257,0,27126,800,400,0,0,0,0,0,0,42,0,0,45539.1,903.746,1733.67,1,0.176788,0.246538,0,0,0
