Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
3,22,0,152,0,0,152,250,0,22527,2600,1300,0,0,0,0,0,0,19,0,0,31,22,50024.1,934.746,1816.67,1,0.205786,0.345929,0,0,0
3,21,0,179,0,0,179,242,0,25702,3800,1900,0,0,0,0,0,0,19,0,0,16,28,46938.1,924.746,1737.67,1,0.191587,0.411615,0,0,0
3,20,20,89,0,0,89,69,0,5784,4800,2400,24,0,2,0,0,0,7,0,0,15,8,1485.41,85.5746,175.267,0.934098,0.0994124,0.0689359,0,0,0
3,19,20,82,0,0,82,65,0,5756,5600,2800,28,0,3,0,0,0,9,0,0,27,11,1527.41,76.5746,170.267,0.638643,0.0402409,0.108404,0,0,0
3,18,21,94,0,0,94,60,0,5356,3600,1800,21,0,5,0,0,0,13,0,0,24,14,1887.41,103.575,183.267,1,0.0305884,0.142038,0,0,0
3,17,11,123,0,0,123,124,0,13167,4800,2400,29,0,12,0,0,0,18,0,0,34,7,23175,457.873,851.337,1,0.255406,0.175646,0,0,0
3,16,0,150,0,0,150,270,0,23253,2400,1200,0,0,0,0,0,0,20,0,0,27,17,49406.1,920.746,1722.67,1,0.255088,0.334092,0,0,0
3,15,11,65,0,0,65,71,0,3817,4000,2000,20,0,3,0,0,0,6,0,0,10,10,3477.41,82.5746,153.267,1,0.104412,0.113176,0,0,0
3,14,0,82,0,0,82,67,0,4116,3200,1600,0,0,0,0,0,0,7,0,0,29,9,3161.41,77.5746,175.267,1,0.0762749,0.0498269,0,0,0
3,13,22,67,0,0,67,65,0,5269,3000,1500,18,0,4,0,0,0,11,0,0,14,9,1976.41,86.5746,198.267,1,0.0955299,0.142038,0,0,0
3,12,29,72,0,0,72,57,0,5247,3600,1800,17,0,3,0,0,0,12,0,0,17,12,2009.41,105.575,168.267,1,0.0522062,0.0631026,0,0,0
3,11,20,115,0,0,115,117,0,11655,5600,2800,28,0,7,0,0,0,21,0,0,28,12,24753,434.873,808.337,1,0.350541,0.385105,0,0,0
3,10,19,58,0,0,58,32,0,2887,2400,1200,15,0,4,0,0,0,7,0,0,11,8,755.204,45.7873,77.1337,0.404727,0.0279781,0.0756026,0,0,0
3,9,19,71,0,0,71,61,0,5200,3000,1500,16,0,2,0,0,0,9,0,0,16,15,2061.41,88.5746,180.267,1,0.0835299,0.0667101,0,0,0
3,8,21,70,0,0,70,60,0,4279,3400,1700,16,0,5,0,0,0,8,0,0,18,10,2998.41,93.5746,159.267,1,0.039265,0.0488894,0,0,0
