Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
33,340461476,pyrethroid_resistant,1000,18840,0,771,18069,23560,28506,182257,744240,372120,3001,0,2983,0,2791,0,1721,316,272,0,0,26006.8,0.0267694
33,340461476,carbamate_resistant,1000,19219,0,769,18450,23566,28394,182300,755920,377960,3092,0,3004,0,2760,0,1733,309,300,0,0,25963.8,0.0259623
33,340461476,organochlorines_resistant,1000,19017,0,734,18283,23873,28727,182569,787760,393880,3086,0,3064,0,2808,0,1798,316,313,0,0,25694.8,0.0265407
34,340461476,pyrethroid_resistant,1000,19304,68,735,18501,24189,28208,183021,783200,391600,3120,0,2983,0,2815,0,1748,319,284,0,0,25553.6,0.034944
34,340461476,carbamate_resistant,1000,19562,73,727,18762,24024,28371,182766,774440,387220,3054,0,3024,0,2767,0,1836,304,284,0,0,25808.6,0.0343472
34,340461476,organochlorines_resistant,1000,19416,47,754,18615,24445,28528,182632,773800,386900,3161,0,2984,0,2772,0,1752,295,326,0,0,25942.6,0.0326175
35,340461476,pyrethroid_resistant,1000,19586,108,729,18749,24560,27880,183358,976280,488140,3568,12,3574,14,2789,0,1793,340,374,0,0,25490.9,0.0326272
35,340461476,carbamate_resistant,1000,19750,97,761,18892,24528,28110,183372,1027640,513820,3679,11,3656,19,2781,0,1842,375,376,0,0,25476.9,0.0333255
35,340461476,organochlorines_resistant,1000,19696,80,748,18868,24963,28091,182890,987880,493940,3542,12,3550,9,2776,0,1791,337,368,0,0,25958.9,0.0335262
36,340461476,pyrethroid_resistant,1000,19911,119,753,19039,24835,29645,181538,855000,427500,3228,10,3251,11,2732,0,1793,293,321,0,0,27552.9,0.0261102
36,340461476,carbamate_resistant,1000,19900,107,772,19021,25056,29941,181934,855880,427940,3279,8,3240,7,2639,0,1884,317,288,0,0,27156.9,0.0247917
36,340461476,organochlorines_resistant,1000,20052,105,790,19157,25333,29802,181557,870920,435460,3293,10,3267,11,2824,0,1847,331,290,0,0,27533.9,0.0262774
37,340461476,pyrethroid_resistant,1000,20090,162,735,19193,25256,29901,183216,856720,428360,3156,8,3278,4,2725,0,1937,297,312,0,0,26088.5,0.0322257
37,340461476,carbamate_resistant,1000,20228,177,731,19320,25300,29831,183441,854440,427220,3178,6,3161,9,2835,0,1877,311,319,0,0,25863.5,0.0317298
37,340461476,organochlorines_resistant,1000,20133,147,799,19187,25635,29831,183663,862040,431020,3265,4,3291,8,2699,0,1915,325,378,0,0,25641.5,0.0316148
