Year, NodeId, Gender, IP_Key:Accessibility, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative
1995.5,1,1,No,13,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,14,3,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,15,2,2,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,16,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,17,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,18,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,19,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,20,3,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,21,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,22,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,23,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,24,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,25,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,26,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,27,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,28,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,29,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,30,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,31,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,32,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,33,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,34,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,35,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,36,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,37,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,38,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,39,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,40,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,41,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,42,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,43,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,44,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,45,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,46,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,47,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,48,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,49,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,50,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,51,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,52,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,53,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,54,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,55,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,56,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,57,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,58,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,59,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,60,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,61,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,62,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,63,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,64,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,65,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,66,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,67,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,68,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,69,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,70,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,71,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,72,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,73,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,74,0,0,0,0,0,0,0,0,0,0,0
