Year,Event_Name,Individual_ID,Age,Gender,Infectiousness
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1384,867.911,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1388,1347.21,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1389,362.838,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1394,113.387,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1396,402.647,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1398,1817.74,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1404,686.799,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1411,1464.15,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1415,1307.73,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1423,708.466,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1434,928.685,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1437,179.061,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1461,1067.06,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1472,1446.33,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1479,328.394,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1481,902.669,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1484,815.057,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1492,1632.42,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1493,1314.02,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1499,159.465,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1505,283.499,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1508,365.231,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1514,292.297,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1515,1346.44,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1534,103.845,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1541,1387.88,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1550,274.999,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1558,1301.31,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1564,1132.59,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1565,1759.32,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1567,1731.25,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1568,660.882,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1570,1221.16,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1572,665.056,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1584,130.52,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1586,46.0053,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1593,1281.05,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1597,1042.22,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1601,1305.51,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1603,726.995,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1618,532.688,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1619,439.151,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1625,836.281,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1629,1190.88,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1633,1090.25,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1635,116.412,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1636,389.789,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1649,1165.3,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1652,658.806,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1653,1596.98,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1654,1588.5,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1659,524.492,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1665,351.219,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1690,127.94,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1709,1817.41,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1712,548.003,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1715,340.931,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1731,1714.95,M,0
0.0273973,Teen_Is_Post_Debut,1,10658,M,0
