Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative,Reduced_Acquire_Lowest,Reduced_Acquire_Medium,Reduced_Acquire_Low,Reduced_Acquire_Highest_Not_Duplicated
1962.47,1,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,37,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,41,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,47,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,51,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
