Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place
60,1,10,0,1_VISIT,RURAL
61,10,100,12,STOP_VACCINATING,URBAN
61,9,90,8,STOP_VACCINATING,URBAN
61,8,80,13,STOP_VACCINATING,URBAN
61,7,70,28,1_VISIT,RURAL
61,6,60,16,1_VISIT,RURAL
61,5,50,29,1_VISIT,RURAL
61,4,40,11,1_VISIT,RURAL
61,3,30,2,1_VISIT,RURAL
61,2,20,0,1_VISIT,RURAL
61,1,10,0,1_VISIT,RURAL
62,10,100,13,STOP_VACCINATING,URBAN
62,9,90,8,STOP_VACCINATING,URBAN
62,8,80,14,STOP_VACCINATING,URBAN
62,7,70,30,1_VISIT,RURAL
62,6,60,17,1_VISIT,RURAL
62,5,50,27,1_VISIT,RURAL
62,4,40,11,1_VISIT,RURAL
62,3,30,2,1_VISIT,RURAL
62,2,20,0,1_VISIT,RURAL
62,1,10,0,1_VISIT,RURAL
63,10,100,14,STOP_VACCINATING,URBAN
63,9,90,8,STOP_VACCINATING,URBAN
63,8,80,14,STOP_VACCINATING,URBAN
63,7,70,30,1_VISIT,RURAL
63,6,60,17,1_VISIT,RURAL
63,5,50,25,1_VISIT,RURAL
63,4,40,9,1_VISIT,RURAL
63,3,30,2,1_VISIT,RURAL
63,2,20,0,1_VISIT,RURAL
63,1,10,0,1_VISIT,RURAL
64,10,100,16,STOP_VACCINATING,URBAN
64,9,90,5,STOP_VACCINATING,URBAN
64,8,80,16,STOP_VACCINATING,URBAN
64,7,70,29,1_VISIT,RURAL
64,6,60,20,1_VISIT,RURAL
64,5,50,25,1_VISIT,RURAL
64,4,40,11,1_VISIT,RURAL
64,3,30,2,1_VISIT,RURAL
64,2,20,0,1_VISIT,RURAL
64,1,10,0,1_VISIT,RURAL
65,10,100,17,STOP_VACCINATING,URBAN
65,9,90,8,STOP_VACCINATING,URBAN
65,8,80,17,STOP_VACCINATING,URBAN
65,7,70,27,1_VISIT,RURAL
65,6,60,20,1_VISIT,RURAL
65,5,50,21,1_VISIT,RURAL
65,4,40,10,1_VISIT,RURAL
65,3,30,2,1_VISIT,RURAL
65,2,20,0,1_VISIT,RURAL
65,1,10,0,1_VISIT,RURAL
66,10,100,19,STOP_VACCINATING,URBAN
66,9,90,8,STOP_VACCINATING,URBAN
66,8,80,15,STOP_VACCINATING,URBAN
66,7,70,28,1_VISIT,RURAL
66,6,60,25,1_VISIT,RURAL
66,5,50,21,1_VISIT,RURAL
66,4,40,6,1_VISIT,RURAL
66,3,30,2,1_VISIT,RURAL
66,2,20,0,1_VISIT,RURAL
66,1,10,0,1_VISIT,RURAL
