Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,2,Yes,0,1,20,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,2,Yes,0,1,30,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,2,Yes,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,1,50,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,2,Yes,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
