Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
2,2,11,70,0,0,70,65,0,4405,4000,2000,19,0,1,0,0,0,7,0,0,1486.02,75.5299,183.446,1,0.0510984,0.0643424,0,0,0
2,1,6,65,0,0,65,66,0,3264,4800,2400,22,0,1,0,0,0,7,0,0,2640.02,82.5299,163.446,1,0.0587575,0.0689476,0,0,0
3,26,0,653,0,0,653,609,0,60666,2600,1300,0,0,0,0,0,0,82,0,0,84774.1,1827.49,3337.35,1,0.11924,0.160339,0,0,0
3,25,1,66,0,0,66,73,0,5113,5000,2500,21,0,2,0,0,0,7,0,0,2174.41,76.5746,166.267,1,0.0762749,0.0655562,0,0,0
3,24,10,62,0,0,62,84,0,5230,3400,1700,13,0,4,0,0,0,7,0,0,2043.41,93.5746,163.267,1,0.0754416,0.0977789,0,0,0
3,23,15,125,0,0,125,118,0,12947,9400,4700,48,0,7,0,0,0,15,0,0,23368,504.873,831.337,1,0.199825,0.317781,0,0,0
3,22,0,206,0,0,206,193,0,25068,2800,1400,0,0,0,0,0,0,28,0,0,47546.1,928.746,1759.67,1,0.240639,0.285975,0,0,0
3,21,0,250,0,0,250,249,0,25432,1800,900,0,0,0,0,0,0,25,0,0,47269.1,890.746,1710.67,1,0.17886,0.209433,0,0,0
3,20,10,59,0,0,59,71,0,4633,3000,1500,12,0,4,0,0,0,8,0,0,2653.41,94.5746,149.267,1,0.0895299,0.100803,0,0,0
3,19,10,73,0,0,73,78,0,5748,5600,2800,24,0,3,0,0,0,8,0,0,1526.41,90.5746,165.267,0.927734,0.0603785,0.0824701,0,0,0
3,18,10,91,0,0,91,82,0,5811,3200,1600,22,0,2,0,0,0,15,0,0,1457.41,105.575,156.267,0.752863,0.04585,0.0662308,0,0,0
3,17,4,159,0,0,159,151,0,13490,5400,2700,40,0,5,0,0,0,8,0,0,22800,494.873,866.337,1,0.0970103,0.181189,0,0,0
3,16,0,198,0,0,198,222,0,25339,2200,1100,0,0,0,0,0,0,27,0,0,47307.1,935.746,1720.67,1,0.17746,0.384396,0,0,0
3,15,6,68,0,0,68,45,0,5285,3200,1600,13,0,4,0,0,0,10,0,0,1986.41,85.5746,173.267,1,0.0625214,0.0744024,0,0,0
3,14,0,60,0,0,60,64,0,5084,2000,1000,0,0,0,0,0,0,7,0,0,2173.41,84.5746,188.267,1,0.0469611,0.0974701,0,0,0
3,13,10,59,0,0,59,58,0,4170,4000,2000,21,0,2,0,0,0,13,0,0,3084.41,85.5746,190.267,1,0.0754416,0.0924701,0,0,0
3,12,14,93,0,0,93,102,0,4994,5200,2600,25,0,9,0,0,0,12,0,0,2257.41,93.5746,185.267,1,0.0475166,0.0887231,0,0,0
3,11,11,112,0,0,112,119,0,12195,6400,3200,31,0,5,0,0,0,18,0,0,24184,433.873,838.337,1,0.139161,0.300089,0,0,0
3,10,10,37,0,0,37,38,0,2896,2200,1100,12,0,2,0,0,0,3,0,0,737.204,50.7873,81.1337,1,0.0572062,0.0789359,0,0,0
3,9,10,69,0,0,69,60,0,5266,3600,1800,16,0,1,0,0,0,6,0,0,1978.41,93.5746,192.267,1,0.046265,0.120319,0,0,0
3,8,9,60,0,0,60,61,0,5795,3400,1700,13,0,5,0,0,0,8,0,0,1482.41,92.5746,160.267,0.942008,0.226325,0.0587308,0,0,0
3,7,0,76,0,0,76,76,0,5517,3200,1600,0,0,0,0,0,0,10,0,0,1768.41,89.5746,155.267,1,0.0502944,0.0685192,0,0,0
3,6,10,68,0,0,68,66,0,5298,3400,1700,13,0,1,0,0,0,9,0,0,1975.41,79.5746,177.267,1,0.114412,0.0563255,0,0,0
3,5,13,34,0,0,34,41,0,2773,2400,1200,8,0,2,0,0,0,4,0,0,865.204,54.7873,72.1337,1,0.0919124,0.109654,0,0,0
3,4,6,40,0,0,40,44,0,2535,3000,1500,12,0,3,0,0,0,3,0,0,1093.2,43.7873,93.1337,1,0.026975,0.0777231,0,0,0
