Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
2,26,260,13,NONE,RURAL,MED
2,25,250,15,NONE,RURAL,HIGH
2,24,240,18,FENCE_AND_TRAP,RURAL,LOW
2,23,230,12,SPRAYED_A,URBAN,HIGH
2,22,220,25,SPRAYED_B,RURAL,LOW
2,21,210,19,NONE,RURAL,LOW
2,20,200,11,NONE,URBAN,LOW
2,19,190,10,NONE,URBAN,LOW
2,18,180,9,SPRAYED_A,URBAN,LOW
2,17,170,9,NONE,RURAL,LOW
2,16,160,7,SPRAYED_A,RURAL,LOW
2,15,150,14,FENCE_AND_TRAP,RURAL,MED
2,14,140,11,NONE,RURAL,LOW
2,13,130,1,NONE,RURAL,LOW
2,12,120,8,SPRAYED_A,URBAN,LOW
2,11,110,9,NONE,RURAL,MED
2,10,100,5,NONE,RURAL,LOW
2,9,90,4,FENCE_AND_TRAP,RURAL,MED
2,8,80,4,NONE,URBAN,LOW
2,7,70,2,NONE,RURAL,LOW
2,6,60,1,NONE,RURAL,LOW
2,5,50,2,SPRAYED_B,RURAL,MED
2,4,40,5,SPRAYED_B,URBAN,LOW
2,3,30,5,NONE,RURAL,MED
2,2,20,4,SPRAYED_A,RURAL,LOW
2,1,10,1,NONE,RURAL,HIGH
3,100,1000,78,SPRAYED_B,RURAL,LOW
3,99,990,72,NONE,RURAL,MED
3,98,980,74,NONE,RURAL,LOW
3,97,970,68,SPRAYED_B,URBAN,LOW
3,96,960,50,NONE,RURAL,LOW
3,95,950,60,NONE,RURAL,LOW
3,94,941,56,SPRAYED_B,RURAL,LOW
3,93,930,46,NONE,URBAN,LOW
3,92,920,65,SPRAYED_B,URBAN,LOW
3,91,910,50,SPRAYED_B,URBAN,MED
3,90,899,57,NONE,URBAN,LOW
3,89,889,69,SPRAYED_B,RURAL,LOW
3,88,880,67,SPRAYED_A,RURAL,LOW
3,87,870,54,NONE,RURAL,LOW
3,86,859,66,SPRAYED_A,RURAL,LOW
3,85,850,81,SPRAYED_A,RURAL,LOW
3,84,840,70,NONE,RURAL,MED
3,83,830,41,NONE,RURAL,LOW
3,82,820,54,FENCE_AND_TRAP,URBAN,LOW
3,81,810,52,SPRAYED_A,RURAL,LOW
3,80,800,56,SPRAYED_B,RURAL,LOW
3,79,790,50,NONE,RURAL,MED
3,78,781,58,SPRAYED_B,URBAN,HIGH
3,77,770,63,NONE,RURAL,HIGH
3,76,760,51,NONE,RURAL,LOW
3,75,750,40,NONE,URBAN,LOW
3,74,740,50,NONE,RURAL,LOW
3,73,730,40,NONE,URBAN,LOW
3,72,720,54,NONE,RURAL,LOW
3,71,710,32,NONE,RURAL,MED
3,70,700,45,NONE,URBAN,LOW
3,69,690,28,NONE,URBAN,LOW
3,68,681,64,NONE,URBAN,LOW
3,67,670,47,NONE,RURAL,LOW
3,66,660,42,SPRAYED_B,RURAL,LOW
3,65,650,40,SPRAYED_B,RURAL,LOW
3,64,640,37,NONE,URBAN,LOW
3,63,630,53,SPRAYED_B,RURAL,HIGH
3,62,620,35,SPRAYED_B,URBAN,MED
3,61,610,39,NONE,URBAN,HIGH
3,60,600,32,SPRAYED_A,RURAL,LOW
3,59,590,49,SPRAYED_A,RURAL,LOW
3,58,580,28,FENCE_AND_TRAP,RURAL,LOW
3,57,571,37,SPRAYED_B,URBAN,LOW
3,56,560,37,SPRAYED_B,RURAL,LOW
3,55,550,39,NONE,RURAL,LOW
3,54,540,31,SPRAYED_B,RURAL,HIGH
3,53,530,44,NONE,URBAN,LOW
3,52,520,27,SPRAYED_B,URBAN,LOW
3,51,510,46,NONE,RURAL,HIGH
3,50,500,24,NONE,RURAL,LOW
3,49,490,33,SPRAYED_B,RURAL,MED
3,48,480,22,SPRAYED_A,RURAL,LOW
3,47,470,21,SPRAYED_B,URBAN,HIGH
3,46,460,33,SPRAYED_B,RURAL,LOW
3,45,450,37,SPRAYED_A,RURAL,MED
3,44,441,28,SPRAYED_B,RURAL,HIGH
3,43,430,33,SPRAYED_A,URBAN,LOW
3,42,420,15,SPRAYED_B,URBAN,LOW
3,41,410,33,NONE,URBAN,MED
3,40,400,24,FENCE_AND_TRAP,RURAL,LOW
3,39,390,24,FENCE_AND_TRAP,URBAN,LOW
3,38,380,25,SPRAYED_A,URBAN,LOW
3,37,370,26,NONE,RURAL,LOW
3,36,360,20,SPRAYED_B,RURAL,LOW
3,35,350,24,SPRAYED_B,URBAN,LOW
3,34,340,22,NONE,RURAL,LOW
3,33,330,16,NONE,URBAN,MED
3,32,320,18,NONE,URBAN,HIGH
3,31,310,13,SPRAYED_A,URBAN,LOW
3,30,300,28,SPRAYED_B,RURAL,LOW
3,29,290,36,FENCE_AND_TRAP,RURAL,LOW
3,28,280,23,SPRAYED_B,URBAN,MED
3,27,270,16,SPRAYED_A,URBAN,MED
3,26,260,16,NONE,RURAL,MED
3,25,250,15,NONE,RURAL,HIGH
3,24,240,18,FENCE_AND_TRAP,RURAL,LOW
3,23,230,14,SPRAYED_A,URBAN,HIGH
3,22,220,27,SPRAYED_B,RURAL,LOW
3,21,210,20,NONE,RURAL,LOW
3,20,200,13,NONE,URBAN,LOW
3,19,190,14,NONE,URBAN,LOW
3,18,180,11,SPRAYED_A,URBAN,LOW
3,17,170,9,NONE,RURAL,LOW
3,16,160,11,SPRAYED_A,RURAL,LOW
3,15,150,18,FENCE_AND_TRAP,RURAL,MED
3,14,140,13,NONE,RURAL,LOW
3,13,130,1,NONE,RURAL,LOW
3,12,120,10,SPRAYED_A,URBAN,LOW
3,11,110,10,NONE,RURAL,MED
3,10,100,8,NONE,RURAL,LOW
3,9,90,4,FENCE_AND_TRAP,RURAL,MED
3,8,80,5,NONE,URBAN,LOW
3,7,70,3,NONE,RURAL,LOW
3,6,60,1,NONE,RURAL,LOW
3,5,50,3,SPRAYED_B,RURAL,MED
3,4,40,6,SPRAYED_B,URBAN,LOW
3,3,30,5,NONE,RURAL,MED
3,2,20,3,SPRAYED_A,RURAL,LOW
3,1,10,1,NONE,RURAL,HIGH
4,100,1000,94,SPRAYED_B,RURAL,LOW
4,99,990,81,NONE,RURAL,MED
4,98,980,87,NONE,RURAL,LOW
4,97,970,82,SPRAYED_B,URBAN,LOW
4,96,960,55,NONE,RURAL,LOW
4,95,950,75,NONE,RURAL,LOW
4,94,941,62,SPRAYED_B,RURAL,LOW
4,93,930,53,NONE,URBAN,LOW
4,92,920,66,SPRAYED_B,URBAN,LOW
4,91,910,56,SPRAYED_B,URBAN,MED
4,90,899,63,NONE,URBAN,LOW
4,89,889,81,SPRAYED_B,RURAL,LOW
4,88,880,77,SPRAYED_A,RURAL,LOW
4,87,870,61,NONE,RURAL,LOW
4,86,859,76,SPRAYED_A,RURAL,LOW
4,85,850,83,SPRAYED_A,RURAL,LOW
4,84,840,78,NONE,RURAL,MED
4,83,830,55,NONE,RURAL,LOW
4,82,820,62,FENCE_AND_TRAP,URBAN,LOW
4,81,810,62,SPRAYED_A,RURAL,LOW
4,80,800,63,SPRAYED_B,RURAL,LOW
4,79,790,64,NONE,RURAL,MED
4,78,781,64,SPRAYED_B,URBAN,HIGH
4,77,770,75,NONE,RURAL,HIGH
4,76,760,54,NONE,RURAL,LOW
4,75,750,46,NONE,URBAN,LOW
4,74,741,57,NONE,RURAL,LOW
4,73,730,43,NONE,URBAN,LOW
4,72,720,63,NONE,RURAL,LOW
4,71,710,32,NONE,RURAL,MED
4,70,700,46,NONE,URBAN,LOW
4,69,690,32,NONE,URBAN,LOW
4,68,681,80,NONE,URBAN,LOW
4,67,670,56,NONE,RURAL,LOW
4,66,660,49,SPRAYED_B,RURAL,LOW
4,65,650,42,SPRAYED_B,RURAL,LOW
4,64,640,38,NONE,URBAN,LOW
4,63,630,58,SPRAYED_B,RURAL,HIGH
4,62,620,34,SPRAYED_B,URBAN,MED
4,61,610,40,NONE,URBAN,HIGH
4,60,600,38,SPRAYED_A,RURAL,LOW
4,59,590,52,SPRAYED_A,RURAL,LOW
4,58,580,35,FENCE_AND_TRAP,RURAL,LOW
4,57,571,46,SPRAYED_B,URBAN,LOW
4,56,560,45,SPRAYED_B,RURAL,LOW
4,55,550,46,NONE,RURAL,LOW
4,54,540,43,SPRAYED_B,RURAL,HIGH
4,53,530,54,NONE,URBAN,LOW
4,52,520,31,SPRAYED_B,URBAN,LOW
