Year, NodeID, IndividualID, Gender, AgeYears, IndividualProperties,NumRels_Last6Months_TRANSITORY,NumRels_Last6Months_INFORMAL,NumRels_Last6Months_MARITAL,NumRels_Last6Months_COMMERCIAL,NumRels_Active_TRANSITORY,NumRels_Active_INFORMAL,NumRels_Active_MARITAL,NumRels_Active_COMMERCIAL,NumRels_Last12Months_TRANSITORY,NumRels_Last12Months_INFORMAL,NumRels_Last12Months_MARITAL,NumRels_Last12Months_COMMERCIAL,NumUniquePartners_Last-3-Months_TRANSITORY,NumUniquePartners_Last-3-Months_INFORMAL,NumUniquePartners_Last-3-Months_MARITAL,NumUniquePartners_Last-3-Months_COMMERCIAL,NumUniquePartners_Last-6-Months_TRANSITORY,NumUniquePartners_Last-6-Months_INFORMAL,NumUniquePartners_Last-6-Months_MARITAL,NumUniquePartners_Last-6-Months_COMMERCIAL,NumUniquePartners_Last-9-Months_TRANSITORY,NumUniquePartners_Last-9-Months_INFORMAL,NumUniquePartners_Last-9-Months_MARITAL,NumUniquePartners_Last-9-Months_COMMERCIAL,NumUniquePartners_Last-12-Months_TRANSITORY,NumUniquePartners_Last-12-Months_INFORMAL,NumUniquePartners_Last-12-Months_MARITAL,NumUniquePartners_Last-12-Months_COMMERCIAL
1962,1,85,M,52.7195,Risk:LOW,0,0,38,0,0,0,0,0,0,0,60,0,0,0,21,0,0,0,35,0,0,0,46,0,0,0,50,0
1962,1,86,M,2.06244,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,87,F,16.3333,Risk:LOW,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0
1962,1,88,M,9.42855,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,89,F,24.4917,Risk:LOW,0,0,8,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,8,0,0,0,12,0,0,0,13,0
1962,1,90,M,3.80096,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,91,F,34.4737,Risk:LOW,0,0,17,0,0,0,0,0,0,0,46,0,0,0,8,0,0,0,17,0,0,0,31,0,0,0,39,0
1962,1,92,F,3.55486,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,93,M,25.3977,Risk:LOW,0,0,2,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,5,0
1962,1,94,F,4.13481,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,95,M,43.6866,Risk:LOW,0,0,26,0,0,0,0,0,0,0,47,0,0,0,12,0,0,0,23,0,0,0,29,0,0,0,38,0
1962,1,96,F,4.73511,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,97,M,48.2297,Risk:LOW,0,0,55,0,0,0,2,0,0,0,95,0,0,0,31,0,0,0,51,0,0,0,62,0,0,0,76,0
1962,1,98,M,3.03124,Risk:HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,99,M,3.47514,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,100,M,16.0976,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,101,M,12.0594,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,102,M,5.31852,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,103,F,24.1122,Risk:LOW,0,0,5,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,5,0,0,0,7,0,0,0,8,0
1962,1,104,M,26.4381,Risk:LOW,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,5,0
1962,1,105,M,44.197,Risk:LOW,0,0,22,0,0,0,0,0,0,0,49,0,0,0,12,0,0,0,20,0,0,0,34,0,0,0,46,0
1962,1,106,F,17.8642,Risk:HIGH,15,0,0,0,0,0,0,0,28,0,0,0,5,0,0,0,7,0,0,0,8,0,0,0,10,0,0,0
1962,1,107,M,21.7189,Risk:LOW,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0
1962,1,108,F,2.88976,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,109,F,3.58988,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,110,F,3.80763,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,111,F,15.2695,Risk:LOW,0,0,5,0,0,0,1,0,0,0,7,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,6,0
1962,1,112,M,11.0434,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,113,M,32.811,Risk:LOW,0,0,13,0,0,0,1,0,0,0,22,0,0,0,9,0,0,0,13,0,0,0,18,0,0,0,22,0
1962,1,114,F,6.7772,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,115,M,9.68393,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,116,M,13.1455,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,117,M,54.2008,Risk:HIGH,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0
1962,1,118,M,13.5393,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,119,F,56.1122,Risk:LOW,0,0,13,0,0,0,1,0,0,0,27,0,0,0,4,0,0,0,12,0,0,0,15,0,0,0,23,0
1962,1,120,M,51.0462,Risk:LOW,0,0,24,0,0,0,0,0,0,0,52,0,0,0,14,0,0,0,20,0,0,0,30,0,0,0,42,0
1962,1,121,M,18.4978,Risk:LOW,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1962,1,122,M,7.61288,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,123,F,1.87621,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
